wn_cm1,lambda_cht_nm,lambda_hankel_nm,lambda_sqrtx_nm,k_fit_range_1e5cm1,x_fit_range_um,cht_vs_hankel_pct,cht_vs_sqrtx_pct
1000,246.9,243.5,244.1,"(0.4, 10.0)","(0.1, 1.2)",1.4,1.1
991,246.0,288.0,247.9,"(0.2, 10.0)","(0.14, 1.2)",14.6,0.8
980,265.8,263.9,264.8,"(0.2, 8.0)","(0.14, 1.2)",0.7,0.4
970,285.6,288.0,312.3,"(0.2, 8.0)","(0.14, 1.2)",0.8,8.5
960,323.4,360.0,309.9,"(0.2, 7.0)","(0.18, 1.2)",10.2,4.4
950,358.6,432.0,377.3,"(0.3, 8.0)","(0.18, 1.2)",17.0,4.9
941,363.4,456.0,422.4,"(0.2, 7.0)","(0.18, 1.2)",20.3,14.0
930,396.6,456.0,420.3,"(0.2, 7.0)","(0.18, 1.2)",13.0,5.6
920,450.9,488.9,502.5,"(0.2, 8.0)","(0.18, 1.2)",7.8,10.3
911,475.1,485.0,495.5,"(0.2, 8.0)","(0.18, 1.2)",2.0,4.1
900,525.6,522.7,538.4,"(0.2, 7.0)","(0.11, 1.2)",0.6,2.4
890,561.0,538.6,549.9,"(0.2, 6.0)","(0.12, 1.2)",4.2,2.0
880,604.9,576.7,584.3,"(0.2, 6.0)","(0.13, 1.2)",4.9,3.5
870,648.0,623.0,628.9,"(0.2, 6.0)","(0.13, 1.2)",4.0,3.0
860,653.2,677.5,679.8,"(0.1, 4.0)","(0.1, 1.2)",3.6,3.9
